# Alpha    Lift Coefficient    Drag Coefficient    Moment Coefficient
-20.00    -0.541096    0.207224    0.023624
-19.00    -0.500199    0.189810    0.021924
-18.00    -0.747802    0.222020    0.051718
-17.00    -0.485247    0.172008    0.010802
-16.00    -0.722429    0.198627    0.031342
-15.00    -0.445550    0.148340    0.004162
-14.00    -0.651800    0.165167    0.024607
-13.00    -0.643563    0.149619    0.018237
-12.00    -0.716416    0.112396    -0.004927
-11.00    -0.916020    0.061921    -0.031450
-10.00    -0.960370    0.046386    -0.022310
-9.00    -0.922601    0.035313    -0.014726
-8.00    -0.845950    0.028702    -0.009882
-7.00    -0.763094    0.023614    -0.005101
-6.00    -0.686130    0.019598    0.000818
-5.00    -0.614016    0.016754    0.007714
-4.00    -0.536473    0.015188    0.014527
-3.00    -0.454329    0.014401    0.021369
-2.00    -0.373192    0.014462    0.029444
-1.00    -0.259028    0.015721    0.031137
0.00    0.000000    0.016936    -0.000000
1.00    0.258973    0.015719    -0.031128
2.00    0.373110    0.014460    -0.029430
3.00    0.454231    0.014399    -0.021352
4.00    0.536375    0.015187    -0.014509
5.00    0.613932    0.016751    -0.007697
6.00    0.686070    0.019596    -0.000805
7.00    0.763061    0.023612    0.005108
8.00    0.845962    0.028702    0.009880
9.00    0.922675    0.035313    0.014712
10.00    0.960543    0.046393    0.022275
11.00    0.916285    0.061969    0.031352
12.00    0.637364    0.133809    -0.013238
13.00    0.456367    0.128890    0.004215
14.00    0.653449    0.165301    -0.024879
15.00    0.671787    0.180207    -0.030955
16.00    0.452112    0.157665    -0.008182
17.00    0.483719    0.171350    -0.010385
18.00    0.496285    0.179838    -0.014864
19.00    0.497695    0.188859    -0.021539
20.00    0.539210    0.206414    -0.023163
