# Alpha    Lift Coefficient    Drag Coefficient    Moment Coefficient
-20.00    -0.435104    28.820241    0.001128
-19.00    -0.659962    0.231901    0.029729
-18.00    -0.626457    0.216771    0.023425
-17.00    -0.615573    0.210070    0.012192
-16.00    -0.566512    0.190109    0.010369
-15.00    -0.556140    0.177517    0.001212
-14.00    -0.530467    0.164546    -0.003590
-13.00    -0.500021    0.148865    -0.006570
-12.00    -0.490024    0.134515    -0.012142
-11.00    -0.490320    0.119917    -0.018606
-10.00    -0.476839    0.105880    -0.021870
-9.00    -0.650846    0.064745    -0.049415
-8.00    -0.662429    0.046357    -0.043245
-7.00    -0.635637    0.034118    -0.035047
-6.00    -0.565933    0.026936    -0.029727
-5.00    -0.479794    0.022554    -0.025883
-4.00    -0.390118    0.019767    -0.023503
-3.00    -0.301726    0.018318    -0.021741
-2.00    -0.150388    0.017026    -0.030251
-1.00    0.071766    0.017390    -0.049186
0.00    0.263166    0.016828    -0.065553
1.00    0.404422    0.015968    -0.069629
2.00    0.512138    0.015591    -0.066432
3.00    0.611810    0.015749    -0.061841
4.00    0.708466    0.016397    -0.057255
5.00    0.804453    0.017169    -0.052536
6.00    0.893460    0.018133    -0.046931
7.00    0.969537    0.019458    -0.039801
8.00    1.020497    0.023512    -0.030233
9.00    1.087529    0.029120    -0.023964
10.00    1.173720    0.035266    -0.020845
11.00    1.242721    0.043276    -0.016251
12.00    1.256900    0.054220    -0.007123
13.00    1.197794    0.066990    0.003651
14.00    0.849596    0.148350    -0.038913
15.00    0.834505    0.182172    -0.053467
16.00    0.557160    0.160503    -0.032301
17.00    0.851143    0.211620    -0.071030
18.00    0.580252    0.182657    -0.040696
19.00    0.920869    0.242650    -0.081630
20.00    0.930890    0.253982    -0.095673
