# Alpha    Lift Coefficient    Drag Coefficient    Moment Coefficient
-20.00    -0.567473    0.236388    0.011048
-19.00    -0.306467    0.177452    -0.024152
-18.00    -0.502199    0.211492    -0.003562
-17.00    -0.271303    0.159979    -0.031947
-16.00    -0.267526    0.155821    -0.036234
-15.00    -0.432948    0.178753    -0.024706
-14.00    -0.391240    0.160734    -0.026410
-13.00    -0.231297    0.129110    -0.038816
-12.00    -0.352720    0.135784    -0.034263
-11.00    -0.344952    0.123361    -0.037578
-10.00    -0.386117    0.116510    -0.043227
-9.00    -0.354461    0.102639    -0.036840
-8.00    -0.394327    0.093611    -0.029882
-7.00    -0.495782    0.086505    -0.036706
-6.00    -0.495139    0.072388    -0.029833
-5.00    -0.337603    0.034307    -0.064850
-4.00    -0.174893    0.027649    -0.077063
-3.00    -0.018155    0.024631    -0.086473
-2.00    0.135948    0.022503    -0.094663
-1.00    0.228079    0.019744    -0.089214
0.00    0.437376    0.018236    -0.104691
1.00    0.565940    0.017726    -0.105925
2.00    0.677476    0.017994    -0.104574
3.00    0.787595    0.018569    -0.103141
4.00    0.896904    0.019370    -0.101651
5.00    1.000613    0.020554    -0.099497
6.00    1.100805    0.021619    -0.096478
7.00    1.198705    0.022179    -0.092460
8.00    1.276938    0.022827    -0.085444
9.00    1.328411    0.024209    -0.074656
10.00    1.311913    0.029680    -0.056307
11.00    1.318262    0.037589    -0.045070
12.00    1.386331    0.044484    -0.040578
13.00    1.435743    0.052557    -0.035483
14.00    1.458038    0.062989    -0.029949
15.00    1.398561    0.078220    -0.024652
16.00    1.289729    0.103747    -0.030246
17.00    1.038208    0.186156    -0.076936
18.00    1.040861    0.231161    -0.093013
19.00    1.027700    0.242307    -0.110249
20.00    0.726508    0.215638    -0.067863
